month,healthexp
1/1/1959,14.5
2/1/1959,14.5
3/1/1959,14.5
4/1/1959,14.5
5/1/1959,14.5
6/1/1959,14.5
7/1/1959,14.5
8/1/1959,14.5
9/1/1959,14.5
10/1/1959,14.5
11/1/1959,14.5
12/1/1959,14.5
1/1/1960,15.5
2/1/1960,15.5
3/1/1960,15.5
4/1/1960,15.5
5/1/1960,15.5
6/1/1960,15.5
7/1/1960,15.5
8/1/1960,15.5
9/1/1960,15.5
10/1/1960,15.5
11/1/1960,15.5
12/1/1960,15.5
1/1/1961,16.6
2/1/1961,16.6
3/1/1961,16.6
4/1/1961,16.6
5/1/1961,16.6
6/1/1961,16.6
7/1/1961,16.6
8/1/1961,16.6
9/1/1961,16.6
10/1/1961,16.6
11/1/1961,16.6
12/1/1961,16.6
1/1/1962,18.1
2/1/1962,18.1
3/1/1962,18.1
4/1/1962,18.1
5/1/1962,18.1
6/1/1962,18.1
7/1/1962,18.1
8/1/1962,18.1
9/1/1962,18.1
10/1/1962,18.1
11/1/1962,18.1
12/1/1962,18.1
1/1/1963,20.5
2/1/1963,20.5
3/1/1963,20.5
4/1/1963,20.5
5/1/1963,20.5
6/1/1963,20.5
7/1/1963,20.5
8/1/1963,20.5
9/1/1963,20.5
10/1/1963,20.5
11/1/1963,20.5
12/1/1963,20.5
1/1/1964,22.7
2/1/1964,22.7
3/1/1964,22.7
4/1/1964,22.7
5/1/1964,22.7
6/1/1964,22.7
7/1/1964,22.7
8/1/1964,22.7
9/1/1964,22.7
10/1/1964,22.7
11/1/1964,22.7
12/1/1964,22.7
1/1/1965,26.1
2/1/1965,26.1
3/1/1965,26.1
4/1/1965,26.1
5/1/1965,26.1
6/1/1965,26.1
7/1/1965,26.1
8/1/1965,26.1
9/1/1965,26.1
10/1/1965,26.1
11/1/1965,26.1
12/1/1965,26.1
1/1/1966,26.7
2/1/1966,26.7
3/1/1966,26.7
4/1/1966,26.7
5/1/1966,26.7
6/1/1966,26.7
7/1/1966,26.7
8/1/1966,26.7
9/1/1966,26.7
10/1/1966,26.7
11/1/1966,26.7
12/1/1966,26.7
1/1/1967,31.2
2/1/1967,31.2
3/1/1967,31.2
4/1/1967,31.2
5/1/1967,31.2
6/1/1967,31.2
7/1/1967,31.2
8/1/1967,31.2
9/1/1967,31.2
10/1/1967,31.2
11/1/1967,31.2
12/1/1967,31.2
1/1/1968,34.1
2/1/1968,34.1
3/1/1968,34.1
4/1/1968,34.1
5/1/1968,34.1
6/1/1968,34.1
7/1/1968,34.1
8/1/1968,34.1
9/1/1968,34.1
10/1/1968,34.1
11/1/1968,34.1
12/1/1968,34.1
1/1/1969,40.3
2/1/1969,40.3
3/1/1969,40.3
4/1/1969,40.3
5/1/1969,40.3
6/1/1969,40.3
7/1/1969,40.3
